 IRAS 00188-0856  , 6.4 $\pm$ 0.5   , 5.4 $\pm$ 0.4   , 46.6 $\pm$ 4.4   , 9.8 $\pm$ 0.9   , 45.4 $\pm$ 1.2    , 4.2 $\pm$ 0.1  ,                  ,                 
 IRAS 16090-0139  , 17.0 $\pm$ 0.9  , 15.5 $\pm$ 0.8  , 97.5 $\pm$ 3.9   , 22.1 $\pm$ 0.9  , 148.3 $\pm$ 12.9  , 15.0 $\pm$ 1.3 , 123.8 $\pm$ 13.6 , 6.2 $\pm$ 0.7   
 IRAS 17208-0014  , 150.9 $\pm$ 2.0 , 13.5 $\pm$ 0.2  , 583.0 $\pm$ 14.6 , 13.1 $\pm$ 0.3  , 1041.2 $\pm$ 36.6 , 10.4 $\pm$ 0.4 , 339.1 $\pm$ 26.0 , 1.7 $\pm$ 0.1   
 IRAS 19254-7245  ,                 ,                 , 170.0 $\pm$ 6.4  , 7.9 $\pm$ 0.3   ,                   ,                , 98.7 $\pm$ 13.5  , 1.0 $\pm$ 0.1   
 IRAS F19297-0406 ,                 ,                 , 57.5 $\pm$ 3.0   , 5.3 $\pm$ 0.3   , 214.7 $\pm$ 4.6   , 8.7 $\pm$ 0.2  ,                  ,                 
 IRAS 19542+1110  , 16.5 $\pm$ 0.8  , 3.2 $\pm$ 0.15  , 48.8 $\pm$ 3.6   , 2.3 $\pm$ 0.2   ,                   ,                , 93.9 $\pm$ 14.0  , 1.0 $\pm$ 0.1   
 IRAS 20087-0308  , 30.3 $\pm$ 1.6  , 17.0 $\pm$ 0.9  , 141.8 $\pm$ 4.6  , 19.9 $\pm$ 0.6  , 202.1 $\pm$ 4.2   , 12.6 $\pm$ 0.3 ,                  ,                 
 IRAS 20100-4156  , 11.3 $\pm$ 0.2  , 9.7 $\pm$ 0.2   , 54.7 $\pm$ 3.0   , 11.7 $\pm$ 0.6  , 133.5 $\pm$ 8.4   , 12.7 $\pm$ 0.8 ,                  ,                 
 IRAS 20414-1651  ,                 ,                 , 63.7 $\pm$ 3.1   , 6.0 $\pm$ 0.3   , 163.0 $\pm$ 11.1  , 6.9 $\pm$ 0.5  ,                  ,                 
 IRAS F20551-4250 , 67.1 $\pm$ 1.5  , 6.1 $\pm$ 0.13  , 292.1 $\pm$ 6.5  , 6.6 $\pm$ 0.15  , 389.0 $\pm$ 19.2  , 3.9 $\pm$ 0.2  , 90.8 $\pm$ 5.2   , 0.5 $\pm$ 0.03  
 IRAS F22491-1808 ,                 ,                 , 77.9 $\pm$ 4.6   , 5.9 $\pm$ 0.3   , 133.8 $\pm$ 7.4   , 4.5 $\pm$ 0.2  , 106.2 $\pm$ 16.0 , 1.8 $\pm$ 0.3   
 IRAS F23060+0505 , 10.7 $\pm$ 0.3  , 16.5 $\pm$ 0.5  , 54.2 $\pm$ 3.1   , 20.9 $\pm$ 1.2  , 70.3 $\pm$ 3.6    , 12.1 $\pm$ 0.6 ,                  ,                 
 IRAS F23128-5919 , 51.2 $\pm$ 0.7  , 5.0 $\pm$ 0.1   , 191.9 $\pm$ 4.4  , 4.7 $\pm$ 0.1   , 329.5 $\pm$ 5.4   , 3.6 $\pm$ 0.1  , 233.3 $\pm$ 43.0 , 1.2 $\pm$ 0.2   
 IRAS 23230-6926  , 8.3 $\pm$ 0.7   , 4.8 $\pm$ 0.4   , 44.1 $\pm$ 3.3   , 6.3 $\pm$ 0.5   , 83.5 $\pm$ 2.4    , 5.3 $\pm$ 0.2  ,                  ,                 
 IRAS 23253-5415  ,                 ,                 , 119.6 $\pm$ 3.9  , 25.7 $\pm$ 0.8  , 160.1 $\pm$ 10.5  , 15.3 $\pm$ 1.0 ,                  ,                 
 IRAS F23389+0300 ,                 ,                 , 24.1 $\pm$ 1.3   , 6.5 $\pm$ 0.4   , 52.4 $\pm$ 3.1    , 6.3 $\pm$ 0.4  ,                  ,                 
 IRAS F00509+1225 , 47.4 $\pm$ 4.7  , 8.7 $\pm$ 0.9   , 80.6 $\pm$ 6.1   , 3.7 $\pm$ 0.3   ,                   ,                , 67.7 $\pm$ 16.4  , 0.7 $\pm$ 0.2   
 PG1126-041       ,                 ,                 , 16.7 $\pm$ 0.4   , 0.7 $\pm$ 0.02  ,                   ,                ,                  ,                 
 IRAS F12243-0036 , 101.6 $\pm$ 1.0 , 0.2 $\pm$ 0.003 , 428.2 $\pm$ 5.6  , 0.3 $\pm$ 0.003 , 862.5 $\pm$ 56.3  , 0.2 $\pm$ 0.02 , 520.4 $\pm$ 61.5 , 0.1 $\pm$ 0.001 
 PG2130+099       ,                 ,                 , 22.5 $\pm$ 1.8   , 1.1 $\pm$ 0.1   ,                   ,                , 72.4$^{*}$       , 0.78$^{*}$      

