source name,RA,Dec,redshift,Distance
NGC3982,11:56:28.13,+55:07:30.9,nan,   21
NGC4038overlap,12:01:54.90,-18:52:46.0,nan,   23
NGC4051,12:03:09.61,+44:31:52.8,nan,   14
NGC4254,12:18:49.60,+14:24:59.0,nan,   36
NGC4321,12:22:54.90,+15:49:21.0,nan,   25
NGC4388,12:25:46.75,+12:39:43.5,nan,   38
NGC4526,12:34:03.03,+07:41:56.9,nan,   10
NGC4569,12:36:49.80,+13:09:46.0,nan,    1
NGC4631,12:42:08.00,+32:32:29.0,nan,   12
NGC4736,12:50:53.00,+41:07:14.0,nan,    8
NGC4826,12:56:43.70,+21:40:58.0,nan,    9
NGC5055,13:15:49.30,+42:01:45.0,nan,   11
Arp193,13:20:35.34,+34:08:22.2,nan,  105
Cen A,13:25:27.61,-43:01:08.8,nan,    4
NGC5135,13:25:44.06,-29:50:01.2,nan,   58
ESO 173-G015,13:27:23.78,-57:29:22.2,nan,   39
NGC5194,13:29:52.71,+47:11:42.6,nan,   11
M83,13:37:00.92,-29:51:56.7,nan,    7
OQ 208,14:07:00.39,+28:27:14.7,nan,  348
NGC5713,14:40:11.50,-00:17:20.0,nan,   29
IRAS 14378-3651,14:40:59.01,-37:04:32.0,nan,  303
VV340a,14:57:00.66,+24:37:05.1,nan,  145
Arp220,15:34:57.12,+23:30:11.5,nan,   81
NGC6052,16:05:12.94,+20:32:36.9,nan,   71
CGCG052-037,16:30:56.60,+04:04:58.3,nan,  109
ESO069-IG006,16:38:11.84,-68:26:08.5,nan,  203
NGC6240,16:52:58.89,+02:24:03.4,nan,  108
NGC6286a,16:58:31.56,+58:56:12.2,nan,   85
IC4687,18:13:39.63,-57:43:31.3,nan,   73
NGC6701,18:43:12.56,+60:39:11.3,nan,   62
NGC6946,20:34:52.30,+60:09:14.0,nan,    5
ESO286-G035,21:04:11.13,-43:35:34.1,nan,   73
NGC7130,21:48:19.50,-34:57:04.7,nan,   69
NGC7172,22:02:01.91,-31:52:11.3,nan,   36
IC5179,22:16:09.13,-36:50:36.6,nan,   48
NGC7331,22:37:04.10,+34:24:56.0,nan,   15
NGC7469,23:03:15.62,+08:52:26.4,nan,   72
NGC7552,23:16:10.77,-42:35:05.4,nan,   21
NGC7582,23:18:23.50,-42:22:14.0,nan,   21
NGC7771,23:51:24.88,+20:06:42.6,nan,   63
IRAS F05189-2524,05:21:01.392,-25:21:45.36,nan,  185
IRAS F12112+0305,12:13:45.978,+02:48:40.4,0.07309,nan
IRAS F14348-1447,14:37:38.317,-15:00:23.29,0.083,nan
IRAS 17208-0014,17:23:21.920,-00:17:00.70,0.0428,nan
IRAS 19254-7245,19:31:21.400,-72:39:18.00,nan,  270
IRAS 19542+1110,19:56:35.786,+11:19:05.45,0.0624,nan
IRAS F20551-4250,20:58:26.781,-42:39:00.20,0.043,nan
IRAS F22491-1808,22:51:49.264,-17:52:23.46,0.0778,nan
IRAS F23128-5919,23:15:46.749,-59:03:15.55,0.0446,nan
IRAS F00509+1225,00:53:34.940,+12:41:36.0,0.0611,nan
IRAS F12243-0036,12:26:54.620,-00:52:39.40,0.00708,nan
